CreditScore|HomeAge|YearsEmployed|CreditCardDebt|Year|Default
639|18|3|4553|2009|0
663|10|3|7341|2009|1
661|2|7|5414|2009|0
601|23|5|4645|2007|0
618|13|4|9379|2008|1
672|24|4|2345|2008|0
671|28|2|5659|2007|0
594|12|3|3019|2008|0
670|21|7|3906|2009|0
735|16|1|5109|2008|0
735|21|2|9475|2007|1
655|18|5|3445|2007|0
670|8|4|5609|2007|0
659|28|7|8901|2009|1
659|4|4|4280|2007|0
720|18|6|3301|2007|0
728|12|3|3374|2008|0
744|38|6|5489|2007|0
726|0|5|2470|2008|0
797|17|6|7078|2009|0
763|26|5|5172|2007|0
602|28|0|1869|2008|0
698|27|2|10705|2007|1
679|32|3|2183|2007|0
637|5|1|3789|2007|0
628|14|6|2825|2009|0
715|22|5|5955|2008|0
709|13|5|4804|2009|0
754|22|7|6516|2008|0
710|31|4|4788|2007|0
662|16|7|3525|2009|0
721|29|4|6315|2007|0
729|20|2|2933|2007|0
759|26|4|9120|2007|0
760|16|6|692|2007|0
752|15|5|6411|2009|0
661|24|3|8552|2008|1
632|14|6|7055|2009|0
714|15|3|12198|2007|1
682|13|4|5556|2009|0
621|15|2|4798|2009|0
758|25|7|6734|2008|0
809|9|5|7064|2009|0
717|14|2|0|2007|0
665|10|3|3616|2008|0
697|23|7|6116|2008|0
663|24|6|9285|2007|1
714|18|6|6496|2008|0
704|31|9|4292|2008|0
678|21|8|9320|2009|1
720|23|8|6521|2009|0
695|22|0|8463|2008|1
720|19|4|6942|2009|0
659|12|5|7655|2009|1
725|27|3|7227|2009|1
787|34|0|1755|2009|0
712|24|2|1104|2009|0
764|14|6|9332|2009|1
600|20|6|7382|2009|0
730|19|9|5051|2008|0
671|23|8|8904|2009|1
763|13|9|4714|2009|0
567|24|8|8014|2008|1
636|23|4|5273|2009|0
678|24|5|5241|2007|0
678|24|5|2496|2009|0
600|23|5|9196|2008|1
640|23|7|6050|2007|0
696|21|2|6152|2009|0
685|25|2|1062|2007|0
631|18|2|5448|2008|0
664|29|5|9050|2009|1
738|17|3|3079|2008|0
659|12|4|4124|2008|0
688|20|6|5701|2008|0
679|38|3|4028|2007|0
691|20|5|2873|2008|0
729|30|5|4071|2007|0
771|15|9|9047|2008|0
674|22|2|4174|2008|0
690|26|7|8130|2007|0
672|22|2|6656|2008|0
717|10|7|5332|2009|0
746|29|6|2678|2007|0
610|15|5|5329|2009|0
673|22|6|9106|2009|1
690|16|4|11185|2008|1
710|8|5|7640|2009|0
694|20|4|8885|2009|1
757|24|6|3486|2009|0
730|25|4|8606|2008|1
699|25|4|6724|2009|1
654|29|10|3630|2007|0
618|17|4|4773|2009|0
772|24|5|4727|2009|0
768|29|2|5822|2009|0
645|17|5|3011|2007|0
778|20|6|4810|2007|0
762|30|8|4384|2009|0
714|22|7|4475|2008|0
664|16|5|2141|2007|0
725|28|3|5174|2009|0
686|23|5|5139|2009|0
707|29|1|3705|2009|0
707|21|3|2625|2008|0
682|12|4|9888|2009|1
684|25|2|9110|2009|1
614|32|8|8823|2009|1
768|30|4|5785|2007|0
701|14|8|5856|2009|0
699|25|5|7764|2007|1
735|21|6|5142|2009|0
679|9|4|5697|2008|0
747|14|7|7821|2009|0
705|11|4|6489|2007|0
738|25|6|3033|2008|0
645|12|9|5528|2007|0
668|26|6|5414|2009|0
665|35|1|8756|2009|1
698|16|4|8869|2008|1
722|18|4|3487|2009|0
746|32|4|10201|2007|1
713|17|7|8915|2008|1
725|25|3|7520|2007|0
632|13|4|6361|2007|0
751|32|5|2992|2007|0
705|18|7|1291|2008|0
640|20|2|4722|2008|0
710|20|7|5802|2008|0
691|18|6|10185|2007|0
643|18|2|3835|2007|0
657|24|6|6197|2007|0
739|11|6|3448|2007|0
724|10|4|3397|2009|0
678|17|6|9173|2008|1
591|29|5|6241|2008|0
649|16|7|6537|2009|0
608|12|4|7314|2009|1
788|17|2|5478|2007|0
726|13|3|7764|2009|0
706|22|6|11044|2008|1
808|28|4|5824|2008|0
733|22|7|3180|2008|0
755|20|6|4254|2008|0
746|20|0|9336|2007|1
696|19|4|6304|2008|1
706|20|8|6017|2009|0
715|27|9|3081|2007|0
706|20|10|7170|2008|0
641|30|3|8328|2009|1
684|25|3|0|2007|0
705|30|7|7570|2009|0
751|11|1|2987|2009|0
673|24|5|5300|2007|0
755|9|9|6341|2007|0
648|15|4|9239|2009|1
721|23|6|3344|2007|0
611|21|4|3691|2008|0
676|17|1|6612|2008|1
665|21|4|6296|2007|0
783|26|6|9289|2008|1
642|15|3|927|2008|0
590|15|6|8701|2008|1
691|19|3|4719|2008|0
691|25|4|4516|2008|0
622|22|3|8954|2009|1
794|23|2|5210|2009|1
690|12|2|4439|2009|0
758|12|0|8505|2009|1
700|13|3|5800|2009|0
766|13|5|6561|2008|0
734|13|4|5137|2009|0
636|17|4|6403|2008|0
650|20|1|6070|2009|1
702|24|6|7699|2007|0
730|25|4|4953|2009|0
657|20|4|7981|2009|0
561|27|5|6666|2009|0
704|23|1|4488|2008|0
752|29|2|10989|2008|0
762|22|6|2319|2009|0
644|21|7|7029|2007|0
642|25|6|7588|2008|0
741|16|7|8001|2009|1
695|15|4|3178|2007|0
650|25|4|8365|2009|1
793|15|6|3995|2008|0
641|20|7|6174|2009|0
704|32|3|9005|2009|0
655|6|8|4774|2009|0
724|18|3|5725|2007|0
621|24|3|6219|2008|0
795|19|3|7979|2007|0
593|39|5|8667|2008|1
652|28|4|7320|2008|1
714|15|4|6327|2007|0
645|31|5|6382|2009|0
721|24|6|6775|2007|0
658|17|7|8421|2007|1
742|4|4|5504|2007|0
696|10|4|3864|2008|0
746|26|6|7619|2009|0
658|26|2|2529|2008|0
766|15|1|2607|2008|0
766|31|5|3757|2009|0
715|14|4|4293|2009|0
720|10|6|5008|2008|0
717|21|8|2967|2009|0
718|29|7|4653|2009|0
756|15|8|2168|2009|0
698|19|5|5203|2007|0
713|21|7|2584|2008|0
613|22|7|8469|2007|0
642|28|3|5826|2007|0
829|26|3|3031|2009|0
605|21|2|7149|2009|1
772|11|6|3337|2007|0
648|20|9|4271|2007|0
665|18|6|5317|2007|0
693|7|6|8384|2009|0
655|19|3|5086|2009|0
644|19|4|11978|2007|1
746|18|5|3360|2007|0
733|16|1|7158|2009|1
705|24|7|6499|2007|0
616|27|6|4310|2007|0
685|23|4|3042|2008|0
688|24|5|6623|2009|1
716|19|3|4904|2009|0
704|23|6|3704|2008|0
700|26|5|5068|2007|0
686|15|6|6345|2009|0
563|12|2|4303|2008|0
753|29|6|4020|2008|0
688|22|6|8985|2008|1
762|27|5|4980|2008|0
705|23|5|10475|2007|1
673|3|1|3021|2008|0
653|24|5|9996|2008|1
639|22|3|3723|2007|0
696|21|8|5926|2009|0
687|24|5|8265|2009|1
694|12|2|5989|2009|0
626|32|5|4737|2009|0
753|10|1|5625|2008|0
801|21|4|5279|2009|0
751|23|1|7569|2009|1
748|30|2|4329|2007|0
653|21|3|8870|2009|1
691|13|4|4156|2009|0
709|24|5|8366|2008|0
670|14|9|3110|2009|0
657|11|4|6944|2009|0
737|29|5|8827|2007|1
619|20|7|4306|2009|0
694|24|3|4999|2007|0
764|28|7|5069|2007|0
722|18|3|9068|2009|1
744|1|4|6038|2008|0
784|28|3|5576|2007|0
619|20|5|6826|2008|0
687|24|3|6812|2009|1
690|18|8|6560|2008|0
706|9|3|3208|2009|0
696|15|6|3442|2007|0
797|29|9|5625|2007|0
706|22|5|5673|2007|0
628|17|8|6302|2009|0
706|28|4|7374|2009|1
730|21|6|9224|2009|1
753|23|7|5514|2007|0
655|20|3|6228|2007|0
660|26|6|4355|2007|0
685|20|4|7005|2007|1
579|24|3|7375|2008|1
675|11|3|6611|2009|0
717|10|5|5404|2009|0
698|12|6|8908|2009|1
727|19|4|5136|2009|0
704|9|1|1830|2008|0
814|22|3|4738|2009|0
770|20|7|5623|2007|0
688|26|6|9942|2009|1
626|23|4|4669|2007|0
667|23|1|7361|2008|1
665|17|7|3437|2008|0
733|22|4|2977|2008|0
666|31|5|3522|2008|0
727|20|7|4604|2009|0
657|22|4|3550|2008|0
676|29|4|3652|2007|0
715|29|4|4611|2007|0
617|25|5|5157|2008|0
749|18|2|6722|2009|0
622|31|5|8209|2007|0
677|14|2|3143|2009|0
681|19|2|9603|2007|1
717|29|5|3353|2008|0
647|34|6|7787|2009|0
673|28|5|4268|2009|0
740|13|3|3526|2008|0
790|19|7|10046|2008|1
624|23|3|1794|2007|0
704|11|8|3591|2008|0
695|17|5|4634|2008|0
743|24|7|4702|2009|0
631|28|5|5971|2008|0
690|22|6|5359|2008|0
726|21|4|4444|2008|0
683|31|4|4615|2007|0
622|18|2|7877|2009|1
596|22|4|6575|2007|0
704|21|6|10717|2007|1
728|29|7|3558|2009|0
700|23|3|8241|2009|1
696|20|6|3519|2008|0
624|24|2|5234|2007|0
663|16|1|7793|2008|1
647|26|2|8093|2009|1
560|22|4|4383|2007|0
755|24|7|2285|2008|0
698|38|5|4904|2008|0
717|33|3|8148|2007|0
653|19|6|9393|2009|1
701|14|5|6455|2009|0
724|25|7|4569|2008|0
743|20|4|910|2008|0
731|18|5|5247|2007|0
744|21|6|6625|2008|0
620|32|6|6544|2007|0
687|26|5|7515|2008|1
720|17|5|4508|2008|0
688|22|8|10238|2008|1
731|14|3|4426|2008|0
716|26|8|3697|2009|0
740|18|7|10751|2008|1
711|21|5|2265|2007|0
744|3|3|4000|2007|0
674|18|4|3251|2007|0
723|13|7|5460|2008|0
674|25|5|4176|2009|0
719|29|7|9858|2008|1
696|26|5|6728|2008|0
700|29|6|6106|2009|0
718|12|8|3112|2009|0
691|35|2|3504|2008|0
760|25|7|7937|2007|0
722|24|9|4474|2007|0
674|0|5|4328|2009|0
714|21|5|0|2008|0
728|22|3|6490|2007|0
743|16|4|6809|2009|1
711|13|4|6130|2007|0
664|28|6|4259|2009|0
683|24|2|10972|2009|1
681|26|5|4927|2009|0
695|14|6|3421|2009|0
683|21|4|7033|2008|1
727|21|6|6010|2007|0
774|17|4|8663|2008|1
720|19|6|7613|2009|1
802|17|4|5913|2009|0
773|32|7|4060|2009|0
650|25|1|6485|2008|0
763|28|3|3470|2008|0
690|38|8|6660|2007|0
634|11|5|6204|2008|0
662|26|3|6637|2008|0
667|15|4|7224|2009|1
741|19|4|7210|2009|0
676|14|3|3767|2009|0
772|30|8|4484|2007|0
728|20|7|5947|2007|0
695|21|4|6352|2007|0
790|24|6|6243|2009|0
649|11|4|8629|2009|1
586|29|6|8842|2009|1
661|29|8|0|2009|0
634|2|7|5068|2008|0
643|18|4|5914|2007|0
654|18|5|5114|2007|0
704|12|6|9495|2007|0
681|21|6|7175|2009|0
711|13|4|9476|2008|1
603|27|5|5102|2008|0
767|35|5|5551|2009|0
653|19|3|4631|2009|0
744|23|7|3183|2007|0
742|30|6|3005|2009|0
658|22|8|9572|2007|1
653|20|5|10102|2007|0
621|6|5|2728|2008|0
672|15|4|4247|2007|0
739|11|7|4166|2007|0
753|18|3|5543|2009|0
694|7|6|5795|2009|0
648|24|4|2042|2007|0
661|32|7|9874|2007|1
716|21|6|8178|2009|1
680|27|3|8602|2009|0
668|31|5|4581|2009|0
672|28|7|4021|2007|0
706|31|5|4000|2007|0
723|17|9|106|2007|0
625|13|6|6999|2008|0
722|16|8|3981|2009|0
750|31|6|2973|2009|0
777|23|4|7403|2007|0
698|23|7|4739|2007|0
636|9|4|4946|2009|0
659|19|5|4213|2008|0
635|17|2|5584|2008|0
711|13|9|5727|2007|0
669|24|8|4099|2009|0
635|24|4|6311|2008|0
713|10|6|5799|2007|0
642|22|4|5979|2009|0
733|7|8|6086|2007|0
736|26|5|6051|2009|0
664|15|3|7663|2009|1
611|7|4|4935|2008|0
705|27|6|2045|2008|0
599|18|4|6387|2009|0
715|13|4|1264|2008|0
701|17|9|3835|2009|0
726|23|3|5526|2008|0
631|14|4|7904|2009|0
701|19|3|4024|2008|0
798|25|4|6900|2007|0
738|17|2|4376|2008|0
697|10|7|4899|2009|0
664|22|5|8444|2009|1
689|24|2|8132|2009|1
641|19|6|4142|2009|0
671|16|0|2308|2007|0
661|12|7|3832|2007|0
706|20|4|2108|2007|0
662|18|3|9730|2007|1
675|18|4|7401|2009|0
631|18|3|6750|2009|0
746|17|4|6237|2007|0
732|37|6|5253|2009|0
659|15|2|3428|2007|0
683|18|2|7541|2009|1
626|26|5|7899|2009|1
645|19|2|7962|2007|1
749|23|1|6878|2008|1
726|24|7|958|2009|0
783|24|3|2547|2007|0
765|16|5|5374|2008|0
684|13|2|5575|2007|0
647|17|4|7084|2008|1
740|20|6|2674|2009|0
683|35|4|6365|2007|0
673|33|5|4595|2009|0
668|30|5|7911|2008|0
591|14|8|9789|2009|1
750|7|3|6088|2008|0
748|13|5|3142|2007|0
712|26|-|851|2008|0
653|15|3|8818|2008|1
676|12|7|4473|2007|0
637|37|5|11099|2007|0
751|12|3|7479|2007|0
656|23|3|9335|2008|1
672|17|6|9719|2007|1
655|16|4|4469|2009|0
615|23|3|7888|2009|1
686|21|3|2166|2008|0
623|23|4|9921|2007|1
723|12|7|5882|2008|0
621|34|7|2847|2007|0
679|16|6|6954|2009|0
775|18|5|5620|2009|0
772|11|7|4566|2009|0
710|16|4|6581|2008|0
750|19|5|5411|2007|0
712|15|2|4939|2007|0
717|32|3|5610|2009|0
702|26|10|4676|2007|0
662|23|5|8856|2008|1
799|19|5|5678|2008|0
803|11|8|4204|2009|0
655|10|5|4111|2007|0
699|25|7|6345|2008|0
626|23|5|4759|2008|0
660|21|4|10146|2007|0
603|16|3|6208|2008|0
669|16|4|6503|2008|0
720|10|7|6045|2009|0
771|17|6|3139|2009|0
784|19|5|7635|2007|0
734|1|4|7211|2008|0
795|32|7|4373|2009|0
608|14|1|6438|2009|0
647|16|7|5326|2007|0
731|14|8|3866|2008|0
665|35|2|8948|2008|1
724|27|3|8278|2009|1
686|22|4|1958|2009|0
691|6|1|9784|2009|1
632|20|4|6605|2009|0
619|24|4|7693|2008|0
676|28|5|4146|2008|0
707|30|6|1684|2009|0
699|31|6|5372|2009|0
646|17|6|7482|2007|0
679|12|9|6503|2007|0
688|11|4|10584|2009|1
714|18|2|7289|2007|0
633|35|5|7471|2007|0
714|14|10|6862|2009|0
636|29|2|6942|2009|0
802|13|3|3499|2007|0
714|25|8|6262|2009|0
710|20|6|5496|2007|0
644|24|3|2830|2007|0
709|23|5|4728|2007|0
696|23|6|6409|2007|0
669|13|5|828|2008|0
690|24|5|6515|2007|0
593|6|4|8149|2008|1
779|21|7|8947|2007|0
603|19|6|3394|2007|0
739|33|2|3355|2008|0
699|28|4|5061|2009|1
718|20|3|2692|2007|0
642|24|4|7650|2009|1
753|16|7|5940|2009|1
685|37|2|3311|2008|0
714|28|2|6188|2008|0
716|22|6|6615|2009|1
638|20|8|5845|2008|0
752|24|3|7082|2007|0
723|20|3|7698|2009|0
770|4|11|3709|2008|0
752|24|3|8180|2009|1
686|9|7|5133|2009|0
661|5|6|5561|2009|0
701|21|6|4046|2009|0
624|20|4|7784|2009|1
782|23|9|3324|2007|0
765|22|5|5822|2007|0
760|19|4|2325|2007|0
721|21|4|734|2007|0
692|16|4|10615|2009|1
733|24|3|8997|2007|1
772|14|4|4193|2007|0
666|16|7|8927|2009|1
784|15|6|3669|2009|0
685|21|5|2297|2007|0
706|11|2|6627|2008|0
657|14|6|1704|2007|0
676|18|8|9587|2007|1
708|20|5|9028|2009|0
612|9|7|1117|2008|0
675|27|7|4159|2009|0
709|15|4|7118|2007|0
700|24|9|2240|2007|0
738|13|3|7030|2009|0
748|21|3|6930|2009|1
664|27|2|4372|2007|0
816|24|6|10754|2007|1
816|12|2|3325|2009|0
725|31|4|3692|2007|0
555|20|7|8927|2008|0
742|22|10|3302|2008|0
640|23|6|4831|2009|0
657|22|7|2420|2009|0
737|3|3|825|2008|0
648|29|7|10059|2009|1
659|9|3|4050|2007|0
785|22|5|9404|2007|1
653|14|4|1374|2008|0
613|30|6|4457|2007|0
627|28|5|5333|2009|0
682|14|6|1252|2009|0
680|29|6|3710|2007|0
658|15|5|2262|2008|0
600|15|4|4850|2008|0
732|31|7|8113|2009|0
653|22|11|4706|2008|0
712|32|1|5194|2008|0
683|26|1|3629|2009|0
645|25|5|4205|2007|0
667|20|4|9557|2007|1
652|27|5|4838|2008|0
688|22|2|8602|2008|1
709|15|4|5728|2009|0
726|16|6|8077|2008|0
692|21|3|2039|2008|0
755|17|6|6033|2007|0
703|17|4|10144|2009|1
691|20|5|5131|2007|0
614|17|5|5445|2008|0
734|23|2|5404|2007|0
775|15|6|9548|2009|1
738|29|4|2845|2008|0
711|22|4|1656|2009|0
688|17|8|6444|2009|0
682|24|3|5164|2007|0
692|35|6|3484|2008|0
648|3|4|4709|2009|0
706|17|3|3017|2007|0
770|16|3|4321|2007|0
674|20|3|7239|2008|1
763|27|4|8244|2009|1
776|34|7|1881|2007|0
709|24|6|8565|2009|1
659|12|4|3891|2008|0
807|13|6|1891|2007|0
670|21|4|8171|2009|1
680|24|6|9714|2008|1
637|18|8|8082|2009|1
706|20|6|8578|2008|1
737|28|5|4552|2008|0
667|10|6|4974|2009|0
719|7|7|6457|2007|0
840|19|7|5896|2009|0
687|14|8|3388|2009|0
678|20|1|3527|2009|0
731|26|5|11309|2007|1
685|8|5|1629|2008|0
633|15|4|8474|2008|1
617|24|3|7471|2007|0
692|24|3|4409|2007|0
788|29|3|6057|2007|0
758|17|6|7958|2008|0
735|14|4|8708|2008|1
687|10|1|8473|2009|1
741|25|3|4953|2009|0
781|20|4|5654|2007|0
711|19|6|6934|2007|0
734|25|6|3148|2009|0
676|15|7|5982|2009|0
636|9|3|5336|2007|0
754|31|5|3223|2008|0
725|12|3|10351|2009|1
695|14|5|8692|2009|1
710|16|8|3328|2009|0
666|22|8|7859|2009|0
604|13|4|3445|2007|0
685|23|4|6672|2007|0
651|31|1|9586|2009|1
691|18|6|10060|2009|1
683|22|6|6322|2009|0
717|5|1|8984|2009|0
813|26|6|8100|2007|1
684|4|5|661|2008|0
731|26|3|8503|2009|1
620|15|8|5812|2009|0
634|16|8|10261|2007|1
726|8|7|5042|2007|0
733|25|3|3195|2008|0
688|17|3|9721|2008|0
678|16|3|13412|2008|1
718|18|6|0|2008|0
705|4|6|2883|2007|0
614|24|4|2983|2008|0
635|6|2|5842|2007|0
643|23|1|6613|2009|1
674|24|8|7873|2008|0
633|20|3|7119|2008|0
642|19|7|8428|2009|1
655|14|4|1804|2009|0
733|20|5|10210|2008|1
737|27|4|3896|2009|0
700|11|6|8382|2007|0
666|20|8|8160|2008|1
647|29|6|4712|2009|0
722|23|3|6480|2009|0
687|36|6|4929|2007|0
601|19|5|6533|2008|0
708|27|6|5961|2007|0
703|11|5|5438|2009|0
788|18|2|5334|2007|0
763|24|5|4208|2008|0
675|12|6|8526|2008|0
685|16|0|9195|2007|1
661|21|5|1440|2008|0
697|4|6|3205|2009|0
738|20|5|8301|2008|0
665|25|5|6168|2009|0
599|31|4|10269|2007|1
714|15|6|1843|2008|0
734|25|6|8016|2007|0
686|30|4|7493|2008|0
687|20|3|10145|2008|1
720|16|3|5104|2008|0
648|24|8|3413|2009|0
722|25|5|5386|2009|0
670|22|4|6994|2008|1
639|8|5|3171|2008|0
714|10|7|4291|2008|0
705|8|2|5931|2008|0
732|20|5|4274|2009|0
736|9|6|5329|2008|0
722|20|6|4170|2008|0
709|33|3|6618|2009|0
677|26|4|6890|2008|1
660|26|4|7997|2007|1
686|15|7|6059|2007|0
673|19|5|5520|2009|0
673|24|5|8812|2009|1
758|28|8|6242|2008|0
636|24|4|9314|2008|1
719|31|5|4720|2009|0
714|8|3|5104|2008|0
713|10|6|4602|2008|0
646|15|3|7276|2007|0
642|22|5|7466|2008|0
665|26|4|6119|2008|0
758|19|4|5370|2009|1
657|8|6|5997|2008|0
679|36|4|3894|2007|0
659|21|4|5764|2007|0
724|11|9|5764|2007|0
714|28|7|4623|2009|0
708|20|8|5936|2009|0
679|20|4|4773|2009|0
693|27|5|3368|2009|0
687|15|4|5432|2008|0
684|25|6|9314|2007|1
659|26|2|1157|2009|0
679|15|6|5613|2007|0
689|26|5|8122|2008|1
657|23|2|2829|2008|0
719|26|7|10835|2008|1
709|13|5|6595|2009|1
646|21|4|6745|2009|0
703|28|6|5284|2009|0
642|24|3|5192|2008|0
664|18|3|8648|2007|0
723|27|4|4137|2008|0
764|18|3|3262|2009|0
702|16|5|6231|2007|0
619|15|4|4244|2007|0
690|17|6|4091|2009|0
759|28|3|1619|2009|0
738|14|7|3160|2007|0
694|27|4|9512|2008|1
719|18|4|3768|2008|0
631|25|5|8144|2008|0
689|12|5|6522|2008|0
719|21|5|1895|2007|0
649|6|2|9234|2008|0
756|20|8|3915|2009|0
596|14|5|4416|2009|0
683|17|4|2653|2009|0
677|16|0|7273|2008|1
749|24|2|4417|2008|0
714|20|3|8837|2009|1
768|21|2|1305|2009|0
696|17|5|7272|2008|0
726|15|8|7700|2009|0
691|27|5|2786|2009|0
695|8|5|5160|2009|0
717|20|3|8712|2007|0
685|18|6|6115|2009|0
709|23|4|8324|2007|1
770|32|4|2522|2008|0
676|18|7|7656|2007|0
688|24|5|12141|2007|1
594|27|10|2851|2009|0
683|19|4|7975|2008|1
730|33|5|7071|2008|0
704|28|4|11742|2007|1
710|20|2|6281|2009|0
670|23|3|6684|2009|1
660|23|7|7095|2007|0
639|7|6|4458|2009|0
694|27|3|5171|2007|0
744|17|5|4468|2009|0
616|10|2|5195|2009|0
696|20|6|7249|2007|0
687|20|8|5373|2009|0
754|19|5|4348|2007|0
701|19|4|6205|2008|1
770|19|6|2601|2009|0
737|18|1|2619|2008|0
688|27|6|3305|2008|0
728|37|7|5044|2009|0
750|35|5|4413|2007|0
683|22|3|4211|2008|0
734|37|6|5371|2008|0
733|16|4|4954|2007|0
681|33|4|691|2007|0
656|21|2|7793|2009|1
704|28|3|3073|2008|0
698|34|5|4255|2008|0
705|34|5|4659|2009|0
615|29|3|7217|2007|1
746|37|7|7073|2007|0
653|19|3|5631|2009|0
639|23|5|9924|2008|1
655|25|5|8493|2007|0
691|3|9|3665|2009|0
689|27|7|4019|2007|0
666|14|2|1880|2009|0
674|13|6|2394|2008|0
691|9|5|4112|2009|0
717|17|5|5847|2009|0
813|18|5|4984|2008|0
713|17|2|6174|2007|0
695|28|2|9660|2008|1
663|19|7|6547|2009|0
731|18|8|5121|2007|0
750|23|1|9474|2007|1
683|20|4|7610|2009|1
787|18|8|3335|2007|0
710|22|4|2306|2009|0
677|22|3|12135|2008|1
714|30|2|5142|2009|0
644|19|3|10495|2008|1
720|17|4|2923|2007|0
790|13|10|6925|2009|0
621|10|8|3868|2007|0
672|14|4|2637|2008|0
702|3|2|3269|2007|0
742|3|6|3711|2008|0
697|17|6|3175|2008|0
708|31|4|4909|2007|0
741|25|4|11423|2007|1
645|26|6|3814|2009|0
791|17|6|6945|2007|0
647|18|5|8407|2009|1
678|20|6|6878|2009|0
744|13|6|5612|2008|0
747|21|6|10242|2007|1
762|21|7|3789|2007|0
712|29|7|7744|2008|1
724|37|9|4599|2007|0
750|22|7|3225|2007|0
633|19|4|8383|2009|1
721|12|7|4570|2007|0
695|25|2|4539|2007|0
717|26|4|2944|2007|0
728|22|5|3478|2008|0
730|20|4|8806|2009|1
655|34|7|6549|2009|0
697|5|4|1658|2009|0
687|18|7|4530|2008|0
762|13|7|3307|2009|0
643|15|4|4112|2009|0
647|13|6|1769|2008|0
642|13|5|8994|2009|0
675|19|6|4268|2009|0
681|16|2|7981|2008|1
650|32|7|3797|2009|0
727|19|4|2687|2008|0
723|25|7|4350|2009|0
652|33|5|8382|2008|1
761|21|5|4946|2009|0
629|6|7|3650|2008|0
655|11|4|8504|2009|1
603|18|4|9185|2008|1
725|22|5|7131|2009|1
797|15|8|1815|2007|0
614|12|6|5745|2007|0
696|18|4|8560|2009|1
693|24|4|6918|2009|0
649|20|5|8548|2009|1
675|10|6|7595|2008|0
727|13|5|7907|2009|0
717|17|5|7530|2008|0
751|18|4|4532|2009|0
712|30|6|4099|2008|0
628|8|4|10117|2007|1
725|21|4|7461|2009|1
718|21|6|7920|2009|0
712|24|4|6244|2009|1
651|24|2|2561|2009|0
709|31|7|9180|2008|0
753|20|-|8121|2008|0
663|19|3|6943|2009|1
691|17|4|4485|2008|0
562|20|3|7984|2007|1
658|20|5|1522|2009|0
607|19|4|6910|2009|1
681|16|5|2103|2009|0
654|30|7|5754|2008|0
653|31|6|7389|2009|0
670|31|2|4842|2009|0
589|17|4|5874|2007|0
699|31|5|8603|2009|1
727|16|10|6461|2008|0
645|19|6|788|2008|0
747|21|5|6338|2007|0
772|11|6|3280|2007|0
793|18|6|3118|2009|0
692|1|4|4432|2007|0
